title,author,genre,ageRange,series,number,pov,timePeriod,place,protagonist.name,protagonist.lifeStage,protagonist.gender,protagonist.disability,protagonist.lgbtq,protagonist.ethnicity,protagonist.occupation,pocPresence,lgbtqPresence,type,culture,magic,races,creatures,crime,mood,pairing,subgenre,tropes,loveInterest.name,loveInterest.lifeStage,loveInterest.gender,loveInterest.disability,loveInterest.lgbtq,loveInterest.ethnicity,loveInterest.occupation,spice
What You Wish For,Katherine Center,ROMANCE,ADULT,STANDALONE,0,FIRST,MODERN,SCHOOL/COLLEGE,Samantha Casey,ADULT,FEMALE,N,STRAIGHT,WHITE,EDUCATION,N,N,,,,,,,,M/F,CONTEMPORARY,BOSS/EMPLOYEE; COWORKERS; ENEMIES TO LOVERS; GRUMPY/SUNSHINE; PINING,Duncan,ADULT,MALE,N,STRAIGHT,WHITE,EDUCATION,2
How to Walk Away,Katherine Center,ROMANCE,ADULT,STANDALONE,0,FIRST,MODERN,TOWN,Margaret Jacobsen,ADULT,FEMALE,Y,STRAIGHT,WHITE,CORPORATE,N,N,,,,,,,,M/F,CONTEMPORARY,ENEMIES TO LOVERS; FORBIDDEN; FORCED PROXIMITY; GRUMPY/SUNSHINE,Ian,ADULT,MALE,N,STRAIGHT,WHITE,HEALTHCARE,2
Happiness for Beginners,Katherine Center,ROMANCE,ADULT,STANDALONE,0,FIRST,MODERN,MULTIPLE,Helen Carpenter,ADULT,FEMALE,N,STRAIGHT,WHITE,EDUCATION,N,N,,,,,,,,M/F,CONTEMPORARY,AGE GAP; FORCED PROXIMITY; PINING; SIBLING'S BEST FRIEND,Jake,YOUNG ADULT,MALE,Y,STRAIGHT,WHITE,OTHER,2
Kiss the Girl,Zoraida Cordova,ROMANCE,ADULT,Meant to Be,3,THIRD MULTIPLE,MODERN,MULTIPLE,Ariel del Mar,YOUNG ADULT,FEMALE,N,STRAIGHT,HISPANIC,CELEBRITY,Y,Y,,,,,,,,M/F,ROMCOM,CLASS DIFFERENCE; COWORKERS; FRIENDS TO LOVERS,Eric,ADULT,MALE,N,STRAIGHT,HISPANIC,CREATIVE,2
Spoiler Alert,Olivia Dade,ROMANCE,ADULT,Spoiler Alert,1,THIRD MULTIPLE,MODERN,MULTIPLE,April,ADULT,FEMALE,N,STRAIGHT,WHITE,SCIENCE,N,N,,,,,,,,M/F,ROMCOM,CLASS DIFFERENCE; FORBIDDEN; FRIENDS TO LOVERS,Marcus Caster-Rupp,ADULT,MALE,N,STRAIGHT,WHITE,CELEBRITY,4
All the Feels,Olivia Dade,ROMANCE,ADULT,Spoiler Alert,2,THIRD MULTIPLE,MODERN,MULTIPLE,Lauren,ADULT,FEMALE,N,STRAIGHT,WHITE,HEALTHCARE,N,N,,,,,,,,M/F,ROMCOM,ENEMIES TO LOVERS; FORCED PROXIMITY; CLASS DIFFERENCE; GRUMPY/SUNSHINE; FORBIDDEN,Alex Woodroe,ADULT,MALE,N,STRAIGHT,WHITE,CELEBRITY,4
Ship Wrecked,Olivia Dade,ROMANCE,ADULT,Spoiler Alert,3,THIRD MULTIPLE,MODERN,MULTIPLE,Maria Ivarsson,ADULT,FEMALE,N,STRAIGHT,WHITE,CELEBRITY,N,N,,,,,,,,M/F,ROMCOM,COWORKERS; PINING; FORCED PROXIMITY; FRIENDS TO LOVERS; SECRET RELATIONSHIP,Peter,ADULT,MALE,NO,STRAIGHT,WHITE,CELEBRITY,4
Teach Me,Olivia Dade,ROMANCE,ADULT,There's Something About Marysburg,1,THIRD MULTIPLE,MODERN,SCHOOL/COLLEGE,Rose Owens,ADULT,FEMALE,N,STRAIGHT,WHITE,EDUCATION,N,N,,,,,,,,M/F,ROMCOM,COWORKERS; ENEMIES TO LOVERS; SECRET RELATIONSHIP,Martin,MIDDLE AGED,MALE,NO,STRAIGHT,WHITE,EDUCATION,4
A Brush with Love,Mazey Eddings,ROMANCE,ADULT,A Brush With Love,1,THIRD MULTIPLE,MODERN,SCHOOL/COLLEGE,Harper,YOUNG ADULT,FEMALE,N,STRAIGHT,WHITE,STUDENT,N,N,,,,,,,,M/F,ROMCOM,COWORKERS; FRIENDS TO LOVERS,Dan,YOUNG ADULT,MALE,NO,STRAIGHT,WHITE,STUDENT,3
Lizzie Blake's Best Mistake,Mazey Eddings,ROMANCE,ADULT,A Brush With Love,2,THIRD MULTIPLE,MODERN,CITY,Lizzie Blake,YOUNG ADULT,FEMALE,Y,STRAIGHT,WHITE,IDLE,N,N,,,,,,,,M/F,ROMCOM,FORCED PROXIMITY; FWB,Rake,YOUNG ADULT,MALE,NO,STRAIGHT,WHITE,CORPORATE,3
The Plus One,Mazey Eddings,ROMANCE,ADULT,A Brush With Love,3,THIRD MULTIPLE,MODERN,CITY,Indira,YOUNG ADULT,FEMALE,N,STRAIGHT,WHITE,HEALTHCARE,N,N,,,,,,,,M/F,ROMCOM,FAKE RELATIONSHIP; ENEMIES TO LOVERS; FORCED PROXIMITY; SIBLING'S BEST FRIEND,Jude,YOUNG ADULT,MALE,Y,STRAIGHT,WHITE,SOLDIER,3
Icebreaker,Hannah Grace,ROMANCE,NA,Maple Hills,1,FIRST MULTIPLE,MODERN,CITY,Stassi Allen,YOUNG ADULT,FEMALE,N,STRAIGHT,WHITE,ATHLETE,N,N,,,,,,,,M/F,ROMCOM,ENEMIES TO LOVERS; FORCED PROXIMITY; SPORTS; CLASS DIFFERENCE; FWB,Nate,YOUNG ADULT,MALE,N,STRAIGHT,WHITE,ATHLETE,4
Wildfire,Hannah Grace,ROMANCE,NA,Maple Hills,2,FIRST MULTIPLE,MODERN,CITY,Aurora,YOUNG ADULT,FEMALE,N,STRAIGHT,WHITE,STUDENT,N,N,,,,,,,,M/F,ROMCOM,COWORKERS; FRIENDS TO LOVERS; INSTALOVE; FORBIDDEN; SECRET RELATIONSHIP; FWB,Russ Callaghan,YOUNG ADULT,MALE,N,STRAIGHT,WHITE,ATHLETE,4
By the Book,Jasmine Guillory,ROMANCE,ADULT,Meant to Be,2,THIRD MULTIPLE,MODERN,CITY,Isabelle,YOUNG ADULT,FEMALE,N,STRAIGHT,BLACK,BOOKS,Y,N,,,,,,,,M/F,ROMCOM,FORCED PROXIMITY; GRUMPY/SUNSHINE,Beau,YOUNG ADULT,MALE,N,STRAIGHT,BLACK,CELEBRITY,2
The Wedding Date,Jasmine Guillory,ROMANCE,ADULT,The Wedding Date,1,THIRD MULTIPLE,MODERN,CITY,Alexa Monroe,YOUNG ADULT,FEMALE,N,STRAIGHT,BLACK,PUBLIC SERVICE,Y,N,,,,,,,,M/F,ROMCOM,FAKE RELATIONSHIP; FORCED PROXIMITY; FWB,Drew,YOUNG ADULT,MALE,N,STRAIGHT,WHITE,HEALTHCARE,3
The Proposal,Jasmine Guillory,ROMANCE,ADULT,The Wedding Date,2,THIRD MULTIPLE,MODERN,CITY,Nikole Paterson,YOUNG ADULT,FEMALE,N,STRAIGHT,BLACK,JOURNALIST,Y,N,,,,,,,,M/F,ROMCOM,FRIENDS TO LOVERS; FWB,Carlos,YOUNG ADULT,MALE,N,STRAIGHT,HISPANIC,HEALTHCARE,3
The Wedding Party,Jasmine Guillory,ROMANCE,ADULT,The Wedding Date,3,THIRD MULTIPLE,MODERN,CITY,Maddie Forest,YOUNG ADULT,FEMALE,N,STRAIGHT,BLACK,SMALL BUSINESS,Y,N,,,,,,,,M/F,ROMCOM,ENEMIES TO LOVERS; FORCED PROXIMITY; SECRET RELATIONSHIP; FWB,Theo,YOUNG ADULT,MALE,N,STRAIGHT,BLACK,PUBLIC SERVICE,3
Royal Holiday,Jasmine Guillory,ROMANCE,ADULT,The Wedding Date,4,THIRD MULTIPLE,MODERN,CITY,Vivian Forest,ADULT,FEMALE,N,STRAIGHT,BLACK,HEALTHCARE,Y,N,,,,,,,,M/F,ROMCOM,FORCED PROXIMITY; SECRET RELATIONSHIP,Malcolm,ADULT,MALE,N,STRAIGHT,BLACK,PUBLIC SERVICE,3
Love Theoretically,Ali Hazelwood,ROMANCE,ADULT,STANDALONE,0,FIRST,MODERN,CITY,Elsie Hannaway,YOUNG ADULT,FEMALE,N,STRAIGHT,WHITE,ACADEMIC,N,N,,,,,,,,M/F,ROMCOM,ENEMIES TO LOVERS; PINING; CLASS DIFFERENCE,Jack,ADULT,MALE,N,STRAIGHT,WHITE,ACADEMIC,4
Love on the Brain,Ali Hazelwood,ROMANCE,ADULT,STANDALONE,0,FIRST,MODERN,CITY,Bee Konigswasser,YOUNG ADULT,FEMALE,N,STRAIGHT,WHITE,SCIENCE,N,N,,,,,,,,M/F,ROMCOM,COWORKERS; ENEMIES TO LOVERS; PINING; BOSS/EMPLOYEE; FWB,Levi,ADULT,MALE,N,STRAIGHT,WHITE,SCIENCE,4
The Love Hypothesis,Ali Hazelwood,ROMANCE,ADULT,STANDALONE,0,THIRD,MODERN,SCHOOL/COLLEGE,Olive Smith,YOUNG ADULT,FEMALE,N,STRAIGHT,WHITE,ACADEMIC,N,Y,,,,,,,,M/F,ROMCOM,FAKE RELATIONSHIP; ENEMIES TO LOVERS; PINING; FORCED PROXIMITY; GRUMPY/SUNSHINE; BOSS/EMPLOYEE; AGE GAP,Adam,ADULT,MALE,N,STRAIGHT,WHITE,ACADEMIC,4
Check & Mate,Ali Hazelwood,ROMANCE,YA,STANDALONE,0,FIRST,MODERN,MULTIPLE,Mallory Greenleaf,TEEN,FEMALE,N,BISEXUAL,WHITE,OTHER,N,Y,,,,,,,,M/F,ROMCOM,COWORKERS; ENEMIES TO LOVERS; FORCED PROXIMITY; AGE GAP; SECRET RELATIONSHIP,Nolan,YOUNG ADULT,MALE,N,STRAIGHT,WHITE,OTHER,2
People We Meet on Vacation,Emily Henry,ROMANCE,ADULT,STANDALONE,0,FIRST,MODERN,MULTIPLE,Poppy,ADULT,FEMALE,N,STRAIGHT,WHITE,JOURNALIST,N,N,,,,,,,,M/F,ROMCOM,PINING; GRUMPY/SUNSHINE; FRIENDS TO LOVERS,Alex,ADULT,MALE,N,STRAIGHT,WHITE,EDUCATION,4
Book Lovers,Emily Henry,ROMANCE,ADULT,STANDALONE,0,FIRST,MODERN,TOWN,Nora,ADULT,FEMALE,N,STRAIGHT,WHITE,BOOKS,N,N,,,,,,,,M/F,ROMCOM,ENEMIES TO LOVERS; FORCED PROXIMITY; SECRET RELATIONSHIP; FWB,Charlie,ADULT,MALE,N,STRAIGHT,WHITE,BOOKS,4
Beach Read,Emily Henry,ROMANCE,ADULT,STANDALONE,0,FIRST,MODERN,TOWN,January Andrews,ADULT,FEMALE,N,STRAIGHT,WHITE,BOOKS,N,N,,,,,,,,M/F,ROMCOM,ENEMIES TO LOVERS; PINING; FORCED PROXIMITY; GRUMPY/SUNSHINE; FWB,Augustus,ADULT,MALE,N,STRAIGHT,WHITE,BOOKS,4
The Kiss Quotient,Helen Hoang,ROMANCE,ADULT,The Kiss Quotient,1,THIRD MULTIPLE,MODERN,CITy,Stella Lane,ADULT,FEMALE,Y,STRAIGHT,ASIAN,OFFICE,Y,N,,,,,,,,M/F,ROMCOM,CLASS DIFFERENCE; FWB,Michael,ADULT,MALE,N,STRAIGHT,ASIAN,OTHER,4
The Bride Test,Helen Hoang,ROMANCE,ADULT,The Kiss Quotient,2,THIRD MULTIPLE,MODERN,CITY,Esme,YOUNG ADULT,FEMALE,N,STRAIGHT,ASIAN,IDLE,Y,N,,,,,,,,M/F,ROMCOM,FORCED PROXIMITY; GRUMPY/SUNSHINE; MARRIAGE OF CONVENIENCE,Khai Diep,ADULT,MALE,Y,STRAIGHT,ASIAN,OTHER,3
The Heart Principle,Helen Hoang,ROMANCE,ADULT,The Kiss Quotient,3,THIRD MULTIPLE,MODERN,CITY,Anna Sun,ADULT,FEMALE,Y,STRAIGHT,ASIAN,CREATIVE,Y,N,,,,,,,,M/F,ROMCOM,SPORTS; CLASS DIFFERENCE; GRUMPY/SUNSHINE; SECRET RELATIONSHIP; FWB,Quan,ADULT,MALE,N,STRAIGHT,ASIAN,CORPORATE,3
Part of Your World,Abby Jimenez,ROMANCE,ADULT,Part of Your World,1,FIRST MULTIPLE,MODERN,MULTIPLE,Alexis Montgomery,ADULT,FEMALE,N,STRAIGHT,WHITE,HEALTHCARE,N,N,,,,,,,,M/F,ROMCOM,CLASS DIFFERENCE; AGE GAP; FORBIDDEN; INSTALOVE; SECRET RELATIONSHIP; FWB,Dan,YOUNG ADULT,MALE,N,STRAIGHT,WHITE,HOSPITALITY,3
Yours Truly,Abby Jimenez,ROMANCE,ADULT,Part of Your World,2,FIRST MULTIPLE,MODERN,MULTIPLE,Brianna Ortiz,ADULT,FEMALE,N,STRAIGHT,HISPANIC,HEALTHCARE,Y,N,,,,,,,,M/F,ROMCOM,COWORKERS; FAKE RELATIONSHIP,Jacob,ADULT,MALE,Y,STRAIGHT,WHITE,HEALTHCARE,4
Twilight,Stephenie Meyer,ROMANCE,YA,The Twilight Saga,1,FIRST,MODERN,TOWN,Bella Swan,TEEN,FEMALE,N,STRAIGHT,WHITE,STUDENT,N,N,,,,,,,,M/F,PARANORMAL,COWORKERS; AGE GAP; INSTALOVE; FORBIDDEN,Edward,IMMORTAL,MALE,N,STRAIGHT,WHITE,STUDENT,1
New Moon,Stephenie Meyer,ROMANCE,YA,The Twilight Saga,2,FIRST,MODERN,TOWN,Bella Swan,TEEN,FEMALE,N,STRAIGHT,WHITE,STUDENT,N,N,,,,,,,,M/F,PARANORMAL,COWORKERS; AGE GAP; INSTALOVE; FORBIDDEN; LOVE TRIANGLE,Edward,IMMORTAL,MALE,N,STRAIGHT,WHITE,STUDENT,1
Eclipse,Stephenie Meyer,ROMANCE,YA,The Twilight Saga,3,FIRST,MODERN,TOWN,Bella Swan,TEEN,FEMALE,N,STRAIGHT,WHITE,STUDENT,N,N,,,,,,,,M/F,PARANORMAL,COWORKERS; AGE GAP; INSTALOVE; FORBIDDEN,Edward,IMMORTAL,MALE,N,STRAIGHT,WHITE,STUDENT,1
Breaking Dawn,Stephenie Meyer,ROMANCE,YA,The Twilight Saga,4,FIRST,MODERN,TOWN,Bella Swan,TEEN,FEMALE,N,STRAIGHT,WHITE,STUDENT,N,N,,,,,,,,M/F,PARANORMAL,COWORKERS; AGE GAP; INSTALOVE; FORBIDDEN,Edward,IMMORTAL,MALE,N,STRAIGHT,WHITE,STUDENT,2
The Book Proposal,K J Micciche,ROMANCE,ADULT,STANDALONE,0,FIRST MULTIPLE,MODERN,CITY,Gracie Landing,ADULT,FEMALE,N,STRAIGHT,WHITE,BOOKS,N,N,,,,,,,,M/F,ROMCOM,ENEMIES TO LOVERS; PINING,Colin,ADULT,MALE,N,STRAIGHT,WHITE,LAW,3
Nora Goes Off Script,Annabel Monaghan,ROMANCE,ADULT,STANDALONE,0,FIRST,MODERN,TOWN,Nora Hamilton,ADULT,FEMALE,N,STRAIGHT,WHITE,CREATIVE,N,N,,,,,,,,M/F,ROMCOM,ENEMIES TO LOVERS; FORCED PROXIMITY; GRUMPY/SUNSHINE; FORBIDDEN,Leo,ADULT,MALE,N,STRAIGHT,WHITE,CELEBRITY,3
If the Shoe Fits,Julie Murphy,ROMANCE,ADULT,Meant to Be,1,THIRD,MODERN,MULTIPLE,Cindy,YOUNG ADULT,FEMALE,N,STRAIGHT,WHITE,CREATIVE,N,N,,,,,,,,M/F,ROMCOM,FORCED PROXIMITY; FRIENDS TO LOVERS; INSTALOVE; FORBIDDEN; LOVE TRIANGLE; SECRET RELATIONSHIP,X,ADULT,MALE,N,STRAIGHT,WHITE,CORPORATE,2
